avg_score,avg_length,all_time_high_score,num_timesteps
0.0,2.0,0,2
0.0,5.0,0,10
0.0,4.333333333333333,0,13
0.0,3.5,0,14
0.0,3.0,0,15
0.0,3.0,0,18
0.0,2.7142857142857144,0,19
0.0,2.5,0,20
0.0,3.111111111111111,0,28
0.0,3.4,0,34
0.0,3.1818181818181817,0,35
0.0,3.5,0,42
0.0,3.3076923076923075,0,43
0.0,3.2142857142857144,0,45
0.0,3.2,0,48
0.0,3.125,0,50
0.0,3.411764705882353,0,58
0.0,3.2777777777777777,0,59
0.0,3.473684210526316,0,66
0.0,3.55,0,71
0.0,3.4761904761904763,0,73
0.0,3.5,0,77
0.0,4.434782608695652,0,102
0.0,4.291666666666667,0,103
0.0,4.16,0,104
0.0,4.115384615384615,0,107
0.0,4.222222222222222,0,114
0.0,5.071428571428571,0,142
0.0,4.9655172413793105,0,144
0.0,4.833333333333333,0,145
0.0,5.225806451612903,0,162
0.0,5.09375,0,163
0.0,4.96969696969697,0,164
0.0,4.9411764705882355,0,168
0.0,4.828571428571428,0,169
0.0,4.75,0,171
0.0,4.675675675675675,0,173
0.0,4.631578947368421,0,176
0.0,4.794871794871795,0,187
0.0,4.775,0,191
0.0,4.682926829268292,0,192
0.0,4.904761904761905,0,206
0.0,4.837209302325581,0,208
0.0,4.75,0,209
0.0,5.088888888888889,0,229
0.0,5.0,0,230
0.0,5.148936170212766,0,242
0.0,5.0625,0,243
0.0,5.3061224489795915,0,260
0.0,5.36,0,268
0.0,5.431372549019608,0,277
0.0,5.346153846153846,0,278
0.0,5.320754716981132,0,282
0.018518518518518517,6.074074074074074,1,328
0.01818181818181818,5.9818181818181815,1,329
0.017857142857142856,5.892857142857143,1,330
0.017543859649122806,5.824561403508772,1,332
0.017241379310344827,5.879310344827586,1,341
0.01694915254237288,5.796610169491525,1,342
0.016666666666666666,5.716666666666667,1,343
0.01639344262295082,6.081967213114754,1,371
0.016129032258064516,6.0,1,372
0.015873015873015872,5.968253968253968,1,376
0.015625,6.140625,1,393
0.015384615384615385,6.138461538461539,1,399
0.015151515151515152,6.151515151515151,1,406
0.014925373134328358,6.268656716417911,1,420
0.014705882352941176,6.1911764705882355,1,421
0.014492753623188406,6.173913043478261,1,426
0.014285714285714285,6.114285714285714,1,428
0.028169014084507043,6.126760563380282,1,435
0.027777777777777776,6.097222222222222,1,439
0.0273972602739726,6.041095890410959,1,441
0.02702702702702703,6.135135135135135,1,454
0.02666666666666667,6.1866666666666665,1,464
0.02631578947368421,6.157894736842105,1,468
0.025974025974025976,6.103896103896104,1,470
0.02564102564102564,6.051282051282051,1,472
0.02531645569620253,6.0,1,474
0.025,5.9875,1,479
0.024691358024691357,5.9753086419753085,1,484
0.024390243902439025,6.036585365853658,1,495
0.024096385542168676,5.975903614457831,1,496
0.023809523809523808,5.916666666666667,1,497
0.023529411764705882,5.882352941176471,1,500
0.023255813953488372,6.069767441860465,1,522
0.022988505747126436,6.091954022988506,1,530
0.022727272727272728,6.113636363636363,1,538
0.02247191011235955,6.056179775280899,1,539
0.022222222222222223,6.0,1,540
0.02197802197802198,5.956043956043956,1,542
0.021739130434782608,5.923913043478261,1,545
0.021505376344086023,6.21505376344086,1,578
0.02127659574468085,6.159574468085107,1,579
0.021052631578947368,6.178947368421053,1,587
0.020833333333333332,6.302083333333333,1,605
0.020618556701030927,6.247422680412371,1,606
0.02040816326530612,6.244897959183674,1,612
0.020202020202020204,6.424242424242424,1,636
0.02,6.54,1,654
0.02,6.53,1,655
0.02,6.7,1,680
0.02,6.69,1,682
0.02,6.74,1,688
0.02,6.76,1,691
0.02,6.8,1,698
0.02,6.81,1,700
0.02,6.81,1,701
0.02,6.75,1,703
0.02,6.75,1,709
0.02,6.76,1,711
0.02,6.77,1,719
0.02,6.94,1,737
0.02,6.96,1,741
0.02,6.94,1,742
0.02,6.95,1,745
0.02,6.97,1,755
0.02,6.98,1,757
0.02,6.96,1,762
0.02,6.93,1,764
0.02,6.92,1,765
0.02,6.89,1,766
0.02,6.78,1,780
0.02,6.87,1,790
0.02,6.96,1,800
0.02,7.03,1,810
0.03,7.06,1,820
0.03,6.8,1,822
0.03,6.87,1,831
0.03,6.87,1,832
0.03,6.77,1,839
0.03,6.9,1,853
0.03,6.95,1,859
0.03,6.96,1,864
0.03,7.03,1,872
0.03,7.04,1,875
0.03,7.05,1,878
0.04,7.07,1,883
0.04,6.97,1,884
0.04,7.0,1,891
0.04,7.21,1,913
0.04,7.08,1,914
0.04,7.08,1,916
0.04,7.35,1,944
0.04,7.16,1,945
0.04,7.16,1,946
0.04,7.11,1,953
0.04,7.12,1,955
0.04,7.04,1,964
0.04,7.04,1,972
0.04,6.96,1,973
0.04,6.96,1,974
0.04,7.01,1,983
0.03,6.58,1,986
0.03,6.58,1,987
0.03,6.59,1,989
0.03,6.58,1,990
0.03,6.54,1,995
0.03,6.57,1,999
0.03,6.62,1,1005
0.03,6.35,1,1006
0.03,6.4,1,1012
0.03,6.47,1,1023
0.03,6.31,1,1024
0.03,6.46,1,1045
0.03,6.44,1,1050
0.03,6.53,1,1073
0.03,6.53,1,1074
0.03,6.78,1,1104
0.03,6.79,1,1107
0.02,6.78,1,1113
0.02,6.76,1,1115
0.02,6.8,1,1121
0.02,6.68,1,1122
0.02,6.71,1,1135
0.02,6.71,1,1139
0.02,6.81,1,1151
0.02,6.81,1,1153
0.02,6.85,1,1159
0.02,6.83,1,1162
0.02,6.85,1,1169
0.02,6.83,1,1178
0.02,6.84,1,1180
0.02,6.84,1,1181
0.02,6.83,1,1183
0.02,6.62,1,1184
0.02,6.6,1,1190
0.02,6.62,1,1200
0.02,6.9,1,1229
0.02,6.91,1,1231
0.02,6.92,1,1234
0.02,6.91,1,1236
0.02,6.59,1,1237
0.02,6.61,1,1240
0.02,6.56,1,1243
0.02,6.41,1,1246
0.02,6.41,1,1247
0.03,6.41,1,1253
0.03,6.21,1,1257
0.03,6.13,1,1267
0.03,6.13,1,1268
0.03,5.95,1,1275
0.03,5.95,1,1277
0.04,5.96,1,1284
0.04,5.99,1,1290
0.04,6.07,1,1305
0.04,6.09,1,1309
0.05,6.23,1,1324
0.05,6.24,1,1327
0.05,6.19,1,1328
0.05,6.2,1,1331
0.05,6.17,1,1336
0.05,6.0,1,1337
0.05,5.97,1,1338
0.05,6.01,1,1343
0.05,6.13,1,1358
0.05,6.04,1,1359
0.05,6.08,1,1365
0.05,6.1,1,1372
0.05,6.13,1,1377
0.05,6.16,1,1381
0.05,6.16,1,1382
0.05,6.06,1,1386
0.05,5.97,1,1387
0.05,5.9,1,1390
0.05,5.9,1,1400
0.04,5.88,1,1408
0.04,5.93,1,1415
0.04,5.85,1,1416
0.04,5.86,1,1418
0.04,5.86,1,1425
0.04,5.76,1,1429
0.04,5.82,1,1441
0.04,5.78,1,1442
0.04,5.71,1,1443
0.04,5.69,1,1444
0.05,6.04,1,1482
0.04,6.06,1,1489
0.04,6.14,1,1498
0.04,6.08,1,1499
0.04,5.9,1,1503
0.04,6.0,1,1514
0.04,5.99,1,1515
0.04,5.81,1,1525
0.04,5.81,1,1526
0.04,5.85,1,1531
0.04,5.84,1,1537
0.04,5.84,1,1539
0.04,5.87,1,1551
0.04,5.83,1,1555
0.05,5.97,1,1570
0.05,5.97,1,1571
0.05,5.93,1,1576
0.05,5.91,1,1577
0.05,6.0,1,1587
0.05,5.99,1,1588
0.05,6.0,1,1590
0.05,6.07,1,1602
0.05,6.06,1,1605
0.05,6.02,1,1607
0.05,6.02,1,1608
0.05,5.97,1,1609
0.05,5.95,1,1618
0.05,5.96,1,1620
0.05,5.76,1,1621
0.05,5.77,1,1627
0.05,5.55,1,1628
0.05,5.56,1,1630
0.05,5.4,1,1644
0.05,5.38,1,1645
0.06,5.4,1,1653
0.06,5.4,1,1655
0.06,5.4,1,1661
0.06,5.4,1,1662
0.06,5.3,1,1665
0.06,5.28,1,1667
0.06,5.17,1,1668
0.06,5.16,1,1669
0.06,5.11,1,1670
0.06,5.24,1,1686
0.06,5.33,1,1702
0.06,5.26,1,1704
0.06,5.29,1,1709
0.06,5.41,1,1722
0.06,5.46,1,1729
0.06,5.47,1,1731
0.06,5.45,1,1735
0.06,5.36,1,1736
0.06,5.1,1,1739
0.06,5.09,1,1740
0.06,5.11,1,1745
0.07,5.21,1,1757
0.07,5.21,1,1758
0.07,5.2,1,1760
0.07,5.19,1,1762
0.08,5.39,1,1785
0.08,5.39,1,1786
0.07,5.38,1,1791
0.07,5.37,1,1794
0.07,5.35,1,1802
0.07,5.5,1,1818
0.07,5.48,1,1823
0.07,5.48,1,1825
0.06,5.44,1,1828
0.06,5.49,1,1839
0.06,5.42,1,1847
0.06,5.4,1,1849
0.05,5.27,1,1851
0.05,5.3,1,1857
0.05,5.46,1,1874
0.05,5.46,1,1877
0.05,5.46,1,1882
0.05,5.47,1,1884
0.05,5.5,1,1888
0.05,5.48,1,1891
0.05,5.37,1,1895
0.05,5.45,1,1904
0.05,5.43,1,1908
0.05,5.41,1,1913
0.05,5.39,1,1916
0.05,5.37,1,1918
0.05,5.37,1,1919
0.05,5.4,1,1926
0.05,5.56,1,1943
0.05,5.7,1,1960
0.05,5.64,1,1964
0.05,5.57,1,1965
0.05,5.52,1,1967
0.05,5.54,1,1970
0.05,5.55,1,1973
0.05,5.51,1,1976
0.05,5.49,1,1978
0.05,5.44,1,1985
0.05,5.45,1,1987
0.05,5.51,1,1994
0.05,5.67,1,2011
0.04,5.37,1,2019
0.04,5.31,1,2020
0.04,5.24,1,2022
0.04,5.28,1,2027
0.04,5.25,1,2028
0.04,5.41,1,2055
0.04,5.42,1,2057
0.04,5.34,1,2059
0.05,5.4,1,2066
0.05,5.37,1,2068
0.05,5.42,1,2079
0.05,5.43,1,2082
0.05,5.43,1,2094
0.05,5.41,1,2096
0.04,5.27,1,2097
0.04,5.3,1,2101
0.04,5.4,1,2116
0.04,5.4,1,2117
0.04,5.44,1,2131
0.04,5.44,1,2132
0.04,5.45,1,2135
0.04,5.38,1,2140
0.04,5.5,1,2155
0.04,5.53,1,2160
0.04,5.57,1,2165
0.04,5.64,1,2173
0.04,5.6,1,2178
0.04,5.59,1,2179
0.04,5.7,1,2191
0.04,5.69,1,2196
0.04,5.96,1,2224
0.04,6.41,1,2271
0.04,6.36,1,2280
0.04,6.39,1,2284
0.03,6.32,1,2285
0.03,6.32,1,2287
0.03,6.28,1,2289
0.03,6.31,1,2293
0.03,6.31,1,2296
0.03,6.39,1,2306
0.03,6.46,1,2314
0.03,6.5,1,2319
0.03,6.5,1,2320
0.03,6.44,1,2330
0.03,6.3,1,2332
0.03,6.44,1,2348
0.03,6.42,1,2351
0.03,6.3,1,2352
0.03,6.25,1,2354
0.03,6.39,1,2370
0.03,6.45,1,2380
0.03,6.48,1,2384
0.03,6.5,1,2389
0.03,6.6,1,2400
0.04,6.57,1,2402
0.03,6.51,1,2408
0.03,6.56,1,2414
0.03,6.68,1,2428
0.03,6.72,1,2434
0.02,6.64,1,2449
0.02,6.66,1,2452
0.03,6.74,1,2465
0.03,6.73,1,2467
0.03,6.7,1,2472
0.03,6.6,1,2478
0.03,6.71,1,2494
0.03,6.75,1,2500
0.03,6.74,1,2502
0.03,6.69,1,2508
0.03,6.64,1,2511
0.03,6.69,1,2518
0.03,6.79,1,2530
0.03,6.74,1,2531
0.03,6.58,1,2532
0.03,6.61,1,2538
0.03,6.6,1,2542
0.03,6.61,1,2545
0.03,6.66,1,2554
0.03,6.68,1,2559
0.03,6.66,1,2561
0.03,6.68,1,2572
0.03,6.66,1,2574
0.03,6.67,1,2580
0.03,6.72,1,2588
0.04,6.86,1,2604
0.04,6.9,1,2609
0.04,6.84,1,2610
0.04,6.77,1,2620
0.04,6.62,1,2622
0.04,6.76,1,2640
0.04,6.79,1,2644
0.04,6.78,1,2645
0.04,6.78,1,2648
0.04,6.76,1,2649
0.04,6.77,1,2653
0.04,6.81,1,2659
0.04,6.86,1,2671
0.04,6.86,1,2673
0.04,6.8,1,2674
0.04,6.7,1,2681
0.04,6.63,1,2682
0.04,6.69,1,2689
0.04,6.69,1,2691
0.04,6.83,1,2710
0.04,6.91,1,2719
0.04,6.7,1,2725
0.05,6.79,1,2736
0.05,6.8,1,2739
0.04,6.75,1,2741
0.04,6.77,1,2745
0.04,6.71,1,2750
0.04,6.7,1,2752
0.04,6.62,1,2756
0.04,6.81,1,2777
0.04,6.82,1,2779
0.04,6.9,1,2791
0.04,6.76,1,2792
0.04,6.76,1,2793
0.04,6.72,1,2803
0.04,6.83,1,2815
0.04,6.89,1,2824
0.04,6.92,1,2832
0.04,6.79,1,2834
0.04,6.75,1,2835
0.04,6.71,1,2836
0.04,7.01,1,2874
0.04,7.09,1,2887
0.05,7.21,1,2900
0.05,7.1,1,2901
0.05,7.34,1,2930
0.05,7.25,1,2949
0.05,6.79,1,2950
0.05,6.71,1,2951
0.05,6.69,1,2953
0.05,6.69,1,2954
0.05,6.71,1,2958
0.05,6.72,1,2961
0.05,6.69,1,2962
0.05,6.84,1,2980
0.05,6.75,1,2981
0.05,6.7,1,2984
0.05,6.73,1,2992
0.06,6.84,1,3004
0.07,6.78,1,3008
0.07,6.85,1,3017
0.07,6.71,1,3019
0.07,6.71,1,3022
0.07,6.83,1,3035
0.07,6.91,1,3045
0.08,6.84,1,3054
0.08,6.95,1,3075
0.08,6.92,1,3076
0.08,6.93,1,3082
0.09,6.96,1,3096
0.08,6.95,1,3097
0.08,6.9,1,3098
0.08,6.85,1,3099
0.08,6.78,1,3106
0.08,6.78,1,3112
0.08,6.65,1,3114
0.08,6.67,1,3119
0.07,6.6,1,3125
0.07,6.68,1,3135
0.07,6.65,1,3137
0.07,6.83,1,3161
0.07,6.72,1,3166
0.07,6.71,1,3171
0.07,6.73,1,3175
0.07,6.75,1,3183
0.07,6.83,1,3194
0.07,6.81,1,3199
0.07,6.73,1,3203
0.07,6.73,1,3204
0.08,6.83,1,3215
0.09,6.85,1,3223
0.09,6.89,1,3231
0.09,6.87,1,3232
0.09,6.81,1,3235
0.09,6.91,1,3250
0.09,6.93,1,3254
0.09,6.9,1,3262
0.09,6.95,1,3269
0.09,6.93,1,3273
0.09,6.93,1,3281
0.08,7.01,1,3305
0.08,6.97,1,3306
0.08,7.01,1,3311
0.08,6.94,1,3314
0.08,6.97,1,3319
0.08,6.84,1,3324
0.08,6.82,1,3326
0.08,6.85,1,3330
0.08,6.84,1,3332
0.08,6.85,1,3334
0.08,6.86,1,3339
0.08,6.82,1,3341
0.08,6.8,1,3351
0.08,6.83,1,3356
0.08,6.83,1,3357
0.08,6.81,1,3362
0.08,6.92,1,3374
0.08,6.87,1,3376
0.08,6.86,1,3377
0.08,6.68,1,3378
0.08,6.63,1,3382
0.08,6.58,1,3383
0.07,6.48,1,3384
0.08,6.8,1,3419
0.08,6.82,1,3423
0.08,6.79,1,3424
0.08,6.86,1,3436
0.08,6.93,1,3445
0.08,7.01,1,3457
0.08,6.83,1,3460
0.08,6.94,1,3473
0.08,6.88,1,3479
0.08,6.88,1,3480
0.08,6.99,1,3492
0.08,6.91,1,3494
0.08,7.03,1,3518
0.08,6.98,1,3522
0.08,6.92,1,3524
0.08,6.91,1,3525
0.08,6.94,1,3529
0.08,6.94,1,3530
0.08,6.6,1,3534
0.08,6.5,1,3537
0.07,6.39,1,3539
0.07,6.4,1,3541
0.07,6.27,1,3557
0.07,6.11,1,3560
0.07,6.14,1,3564
0.07,6.18,1,3569
0.07,6.18,1,3571
0.07,6.23,1,3577
0.07,6.21,1,3579
0.07,6.27,1,3588
0.07,6.37,1,3599
0.09,6.35,2,3615
0.09,6.48,2,3629
0.09,6.53,2,3637
0.09,6.46,2,3638
0.08,6.37,2,3641
0.07,6.4,2,3648
0.07,6.37,2,3654
0.07,6.42,2,3661
0.07,6.46,2,3668
0.07,6.36,2,3671
0.07,6.3,2,3675
0.06,6.23,2,3677
0.06,6.17,2,3692
0.06,6.17,2,3693
0.06,6.12,2,3694
0.05,5.99,2,3695
0.06,6.16,2,3713
0.07,6.48,2,3746
0.07,6.49,2,3748
0.07,6.47,2,3753
0.07,6.43,2,3755
0.07,6.43,2,3757
0.07,6.44,2,3763
0.07,6.49,2,3774
0.07,6.5,2,3785
0.08,6.55,2,3792
0.08,6.36,2,3797
0.08,6.45,2,3811
0.08,6.69,2,3840
0.09,6.79,2,3854
0.09,6.86,2,3869
0.09,6.76,2,3870
0.09,6.82,2,3881
0.09,6.85,2,3888
0.09,6.92,2,3896
0.08,6.82,2,3897
0.07,6.84,2,3907
0.07,6.77,2,3908
0.07,6.8,2,3912
0.07,6.8,2,3915
0.07,6.71,2,3921
0.07,6.75,2,3929
0.07,6.69,2,3931
0.07,6.69,2,3938
0.07,6.67,2,3940
0.08,6.67,2,3948
0.08,6.45,2,3950
0.08,6.53,2,3959
0.08,6.66,2,3977
0.08,6.69,2,3983
0.08,6.75,2,3994
0.08,6.72,2,3996
0.08,6.74,2,4000
0.08,6.73,2,4003
0.08,6.73,2,4005
0.08,6.84,2,4018
0.08,6.8,2,4019
0.08,6.81,2,4022
0.08,6.72,2,4023
0.08,6.74,2,4030
0.08,6.75,2,4032
0.08,6.75,2,4037
0.08,6.67,2,4041
0.08,6.75,2,4051
0.08,6.75,2,4052
0.08,6.97,2,4075
0.08,7.12,2,4094
0.08,7.13,2,4096
0.08,7.13,2,4097
0.07,6.85,2,4104
0.07,6.88,2,4111
0.07,6.95,2,4119
0.07,6.88,2,4124
0.07,6.84,2,4129
0.07,6.73,2,4130
0.07,6.75,2,4135
0.07,6.72,2,4145
0.07,6.7,2,4149
0.08,6.74,2,4154
0.08,6.63,2,4155
0.08,6.62,2,4156
0.08,6.39,2,4157
0.08,6.36,2,4158
0.08,6.36,2,4160
0.08,6.36,2,4161
0.08,6.35,2,4164
0.08,6.35,2,4165
0.09,6.45,2,4179
0.09,6.43,2,4180
0.09,6.45,2,4184
0.09,6.45,2,4186
0.09,6.37,2,4194
0.09,6.39,2,4199
0.09,6.36,2,4200
0.09,6.99,2,4268
0.09,7.02,2,4273
0.09,7.44,2,4321
0.09,7.49,2,4328
0.09,7.41,2,4329
0.09,7.32,2,4331
0.07,7.21,2,4336
0.07,7.15,2,4344
0.07,7.13,2,4350
0.07,7.18,2,4356
0.07,7.16,2,4357
0.07,7.18,2,4366
0.07,7.13,2,4367
0.07,7.07,2,4368
0.07,7.02,2,4370
0.07,7.02,2,4373
0.07,7.06,2,4381
0.07,7.13,2,4390
0.07,6.99,2,4391
0.07,6.99,2,4392
0.07,6.99,2,4393
0.07,7.02,2,4397
0.06,6.92,2,4405
0.06,6.64,2,4410
0.06,6.63,2,4411
0.06,6.59,2,4412
0.06,6.67,2,4422
0.06,6.66,2,4423
0.06,6.61,2,4424
0.07,6.55,2,4429
0.07,6.45,2,4430
0.06,6.47,2,4439
0.06,6.44,2,4441
0.06,6.31,2,4442
0.06,6.04,2,4444
0.05,6.19,2,4473
0.05,6.05,2,4474
0.05,6.05,2,4475
0.05,5.95,2,4476
0.05,5.89,2,4477
0.06,6.01,2,4497
0.06,6.03,2,4500
0.06,5.94,2,4501
0.06,5.97,2,4505
0.06,5.94,2,4506
0.06,6.04,2,4519
0.06,6.0,2,4521
0.07,6.09,2,4538
0.08,6.12,2,4543
0.08,6.11,2,4549
0.08,6.18,2,4558
0.07,6.15,2,4563
0.07,6.15,2,4565
0.07,6.1,2,4569
0.07,6.12,2,4589
0.07,6.3,2,4613
0.07,6.22,2,4616
0.07,6.22,2,4618
0.07,6.19,2,4619
0.07,6.3,2,4633
0.07,6.29,2,4634
0.07,6.3,2,4648
0.07,6.33,2,4652
0.07,6.31,2,4653
0.07,6.34,2,4657
0.07,6.32,2,4662
0.07,6.36,2,4668
0.07,6.35,2,4672
0.07,6.32,2,4673
0.07,6.23,2,4674
0.07,6.3,2,4682
0.07,6.09,2,4684
0.07,5.91,2,4685
0.07,5.9,2,4686
0.07,5.92,2,4689
0.07,5.95,2,4699
0.07,5.91,2,4702
0.07,5.94,2,4713
0.07,5.91,2,4715
0.07,6.02,2,4731
0.07,6.02,2,4732
0.07,6.04,2,4739
