,avg_score,avg_length,all_time_high_score,num_timesteps
0,0.0,9.0,0,9
1,0.0,9.5,0,19
2,0.0,12.333333333333334,0,37
3,0.0,12.0,0,48
4,0.0,10.8,0,54
5,0.0,11.333333333333334,0,68
6,0.14285714285714285,22.0,1,154
7,0.125,28.75,1,230
8,0.1111111111111111,30.666666666666668,1,276
9,0.1,31.4,1,314
10,0.09090909090909091,29.818181818181817,1,328
11,0.08333333333333333,27.75,1,333
12,0.07692307692307693,26.46153846153846,1,344
13,0.07142857142857142,25.0,1,350
14,0.06666666666666667,24.133333333333333,1,362
15,0.0625,24.25,1,388
16,0.058823529411764705,23.529411764705884,1,400
17,0.05555555555555555,23.11111111111111,1,416
18,0.05263157894736842,23.157894736842106,1,440
19,0.05,22.8,1,456
20,0.047619047619047616,23.666666666666668,1,497
21,0.045454545454545456,23.136363636363637,1,509
22,0.043478260869565216,23.956521739130434,1,551
23,0.041666666666666664,23.5,1,564
24,0.04,24.24,1,606
25,0.038461538461538464,23.692307692307693,1,616
26,0.037037037037037035,23.074074074074073,1,623
27,0.03571428571428571,23.035714285714285,1,645
28,0.06896551724137931,22.689655172413794,1,658
29,0.06666666666666667,22.866666666666667,1,686
30,0.06451612903225806,22.322580645161292,1,692
31,0.0625,21.875,1,700
32,0.06060606060606061,22.181818181818183,1,732
33,0.058823529411764705,21.764705882352942,1,740
34,0.05714285714285714,21.542857142857144,1,754
35,0.05555555555555555,21.333333333333332,1,768
36,0.05405405405405406,21.972972972972972,1,813
37,0.07894736842105263,22.763157894736842,1,865
38,0.07692307692307693,22.923076923076923,1,894
39,0.075,22.55,1,902
40,0.07317073170731707,22.195121951219512,1,910
41,0.07142857142857142,22.547619047619047,1,947
42,0.06976744186046512,22.186046511627907,1,954
43,0.06818181818181818,22.068181818181817,1,971
44,0.06666666666666667,22.08888888888889,1,994
45,0.06521739130434782,22.717391304347824,1,1045
46,0.06382978723404255,22.4468085106383,1,1055
47,0.0625,22.333333333333332,1,1072
48,0.061224489795918366,22.122448979591837,1,1084
49,0.08,23.0,1,1150
50,0.0784313725490196,22.862745098039216,1,1166
51,0.07692307692307693,22.807692307692307,1,1186
52,0.07547169811320754,22.660377358490567,1,1201
53,0.07407407407407407,22.40740740740741,1,1210
54,0.07272727272727272,22.181818181818183,1,1220
55,0.08928571428571429,22.714285714285715,1,1272
56,0.08771929824561403,22.45614035087719,1,1280
57,0.08620689655172414,22.275862068965516,1,1292
58,0.0847457627118644,22.220338983050848,1,1311
59,0.08333333333333333,22.716666666666665,1,1363
60,0.08196721311475409,22.852459016393443,1,1394
61,0.08064516129032258,22.70967741935484,1,1408
62,0.07936507936507936,22.53968253968254,1,1420
63,0.078125,22.328125,1,1429
64,0.07692307692307693,22.107692307692307,1,1437
65,0.07575757575757576,21.848484848484848,1,1442
66,0.07462686567164178,21.71641791044776,1,1455
67,0.07352941176470588,21.61764705882353,1,1470
68,0.07246376811594203,21.55072463768116,1,1487
69,0.07142857142857142,21.457142857142856,1,1502
70,0.07042253521126761,21.549295774647888,1,1530
71,0.06944444444444445,21.5,1,1548
72,0.0684931506849315,21.465753424657535,1,1567
73,0.06756756756756757,21.72972972972973,1,1608
74,0.06666666666666667,22.173333333333332,1,1663
75,0.06578947368421052,22.026315789473685,1,1674
76,0.06493506493506493,21.883116883116884,1,1685
77,0.0641025641025641,21.91025641025641,1,1709
78,0.0759493670886076,22.430379746835442,1,1772
79,0.1,22.625,2,1810
80,0.09876543209876543,23.209876543209877,2,1880
81,0.0975609756097561,23.317073170731707,2,1912
82,0.0963855421686747,23.156626506024097,2,1922
83,0.09523809523809523,23.238095238095237,2,1952
84,0.09411764705882353,23.094117647058823,2,1963
85,0.09302325581395349,22.906976744186046,2,1970
86,0.09195402298850575,22.75862068965517,2,1980
87,0.09090909090909091,22.613636363636363,2,1990
88,0.0898876404494382,22.95505617977528,2,2043
89,0.08888888888888889,22.966666666666665,2,2067
90,0.08791208791208792,22.75824175824176,2,2071
91,0.08695652173913043,23.152173913043477,2,2130
92,0.08602150537634409,23.258064516129032,2,2163
93,0.0851063829787234,23.095744680851062,2,2171
94,0.09473684210526316,23.08421052631579,2,2193
95,0.09375,23.020833333333332,2,2210
96,0.09278350515463918,22.88659793814433,2,2220
97,0.09183673469387756,22.816326530612244,2,2236
98,0.09090909090909091,23.01010101010101,2,2278
99,0.1,22.99,2,2299
100,0.11,23.62,2,2371
101,0.11,23.78,2,2397
102,0.11,23.74,2,2411
103,0.11,23.69,2,2417
104,0.11,23.74,2,2428
105,0.11,23.77,2,2445
106,0.1,22.99,2,2453
107,0.1,22.59,2,2489
108,0.1,22.3,2,2506
109,0.1,22.09,2,2523
110,0.1,22.12,2,2540
111,0.11,22.32,2,2565
112,0.12,22.82,2,2626
113,0.12,22.94,2,2644
114,0.12,22.95,2,2657
115,0.12,22.77,2,2665
116,0.12,23.02,2,2702
117,0.13,23.44,2,2760
118,0.13,23.4,2,2780
119,0.13,23.58,2,2814
120,0.13,23.34,2,2831
121,0.14,24.07,2,2916
122,0.14,23.98,2,2949
123,0.15,24.58,2,3022
124,0.15,24.24,2,3030
125,0.15,24.72,2,3088
126,0.15,24.85,2,3108
127,0.15,25.1,2,3155
128,0.14,25.36,2,3194
129,0.14,25.19,2,3205
130,0.14,25.27,2,3219
131,0.14,25.3,2,3230
132,0.16,25.31,2,3263
133,0.16,25.74,2,3314
134,0.16,25.71,2,3325
135,0.17,26.2,2,3388
136,0.17,25.9,2,3403
137,0.16,25.58,2,3423
138,0.17,25.86,2,3480
